Layers	Epochs	Kernel Size	Batch Size	Train Loss	Val Loss
2	100	3	1	0.6926	0.6940
2	100	3	16	0.6551	0.6585
2	100	3	32	0.6397	0.6437
2	100	3	64	0.6592	0.6631
2	100	3	128	0.6425	0.6449
2	100	3	256	0.5549	0.5613
2	10	3	128	0.6352	0.6360
2	50	3	128	0.5010	0.5071
2	60	3	128	0.4984	0.5048
2	200	3	128	0.4635	0.4724
2	100	3	32	0.4590	0.4679
2	100	3	32	0.4637	0.4736
2	200	3	32	0.4528	0.4633
3	100	3	32	0.4506	0.4607
3	100	3	128	0.4611	0.4728
3	200	3	32	0.4478	0.4598
3	100	3	128	0.4583	0.4680
4	100	4	128	0.4568	0.4685
4	200	4	128	0.4491	0.4604
4	200	4	32	0.4461	0.4582
4	100	4	32	0.4481	0.4601
4	200	3	32	0.4459	0.4583
4	100	3	128	0.4539	0.4631
